weight_hover,weight_airplane,alpha9_sweep,objective
0.05,0.95,-0.17779999999999999,0.9915697868611637
0.1,0.9,-0.17779999999999999,0.9920127933428652
0.15,0.85,-0.17779999999999999,0.9924557998245667
0.2,0.8,-0.17779999999999999,0.9928988063062681
0.25,0.75,-0.17779999999999999,0.9933418127879696
0.3,0.7,-0.17779999999999999,0.993784819269671
0.35,0.65,-0.17779999999999999,0.9942278257513726
0.39999999999999997,0.6000000000000001,-0.17779999999999999,0.9946708322330741
0.44999999999999996,0.55,-0.17779999999999999,0.9951138387147755
0.49999999999999994,0.5,-0.17779999999999999,0.9955568451964769
0.5499999999999999,0.45000000000000007,-0.17779999999999999,0.9959998516781785
0.6,0.4,-0.17779999999999999,0.9964428581598799
0.65,0.35,-0.17779999999999999,0.9968858646415815
0.7,0.30000000000000004,-0.17779999999999999,0.9973288711232828
0.75,0.25,-0.17779999999999999,0.9977718776049844
0.7999999999999999,0.20000000000000007,-0.17779999999999999,0.9982148840866859
0.85,0.15000000000000002,-0.17779999999999999,0.9986578905683874
0.9,0.09999999999999998,-0.17779999999999999,0.9991008970500889
0.95,0.050000000000000044,-0.17779999999999999,0.9995439035317903
